"derece","durum","mac_var_mi","kazandı mı","borsa_thy","borsa _asels","borsa_froto","trafik_bilgisi","duygu"
"-1.8","Sisli","1","0","-3.82","-2.98","0.39","24","üzgün"
"-1.8","Sisli","1","1","0.94","1.04","-0.22","22","keyifli "
"-1.5","Sisli","0","0","0.36","-4.93","1.83","23","keyifli "
"-1.5","Sisli","1","0","-1.29","-1.16","-1.23","24","sinirli "
"-1.4","Sisli","0","0","-2.17","2.67","-1.57","22","üzgün"
"-1.5","Sisli","1","1","-3.36","-2.1","1.72","23","üzgün"
"-1.4","Sisli","0","0","4.8","-2.28","-4.69","24","üzgün"
"-1.4","Sisli","1","1","-4.7","7.23","2.23","24","keyifli "
"-1.3","Sisli","1","0","-1.28","-1.78","-0.24","24","sinirli "
"-1","Sisli","1","1","1.26","2.66","-2.12","23","keyifli "
"-0.5","Sisli","0","0","-3.71","-1.74","8.31","23","üzgün"
"-0.2","Sisli","0","0","-2.25","-0.58","0.38","23","üzgün"
"0.2","Sisli","1","1","4.49","1.81","1.36","24","mutlu"
"0.8","Sisli","0","0","-0.29","1.19","0.55","23","mutlu"
"1.8","Sisli","1","1","5.56","-0.69","-0.71","23","mutlu"
"3","Az_Bulutlu","1","0","-2.15","-3.07","1.29","21","sinirli "
"3.2","Az_Bulutlu","0","0","4.16","4.89","-1.98","19","keyifli "
"4","Az_Bulutlu","1","0","2.15","-4.04","-0.48","22","keyifsiz"
"5.3","Az_Bulutlu","1","1","-3.96","-5.83","-4.14","23","üzgün"
"4.6","Az_Bulutlu","1","0","2.93","0.97","-0.25","21","keyifli "
"1.7","Az_Bulutlu","0","0","-3.16","-1.83","1.43","19","üzgün"
"-2.1","Kar_Yağışlı","1","1","-1.58","-0.87","1.96","24","üzgün"
"-5.6","Kar_Yağışlı","0","0","2.99","-0.54","-0.36","20","keyifsiz"
"-5.8","Kar_Yağışlı","1","0","-2","-5.7","-1.91","20","sinirli "
"-7","Az_Bulutlu","1","1","-0.65","1.41","-2.34","21","üzgün"
"-7.4","Kar_Yağışlı","0","0","-1.62","-0.71","2.24","20","üzgün"
"-9","Kar_Yağışlı","1","0","2.79","4.75","-3.45","24","keyifli"
"-9.7","Az_Bulutlu","0","0","-0.58","-3.35","1.77","20","üzgün"
"-10.5","Kar_Yağışlı","1","0","-0.69","1.97","-1.33","20","keyifsiz"
"-11.3","Kar_Yağışlı","1","1","-1.91","-3.06","0.05","24","üzgün"
"-12.6","Az_Bulutlu","1","0","7.27","2.22","0.96","20","mutlu"
"-12.9","Kar_Yağışlı","1","0","5.87","0.26","-1.75","20","mutlu"
"-13.3","Kar_Yağışlı","0","0","-0.63","-2.8","1.83","21","keyifsiz"
"-14","Kar_Yağışlı","1","1","2.38","5.58","-0.33","19","mutlu"
"-15.3","Az_Bulutlu","0","0","2.84","1.94","4.29","19","mutlu"
"-14.9","Az_Bulutlu","1","0","3.13","4.8","-1.84","19","keyifli "
"-15.1","Az_Bulutlu","1","0","-2.03","0.85","-1.75","21","sinirli "
"-14.9","Az_Bulutlu","0","0","-0.81","-2.63","4.33","19","keyifsiz"
"-14.8","Az_Bulutlu","1","0","-0.71","-1.98","5.15","21","keyifsiz"
"-15.3","Az_Bulutlu","1","0","0.72","2.88","4.38","19","mutlu"
"-15.8","Az_Bulutlu","1","0","4.49","3.02","-2.46","20","mutlu"
"-16.3","Az_Bulutlu","0","0","-2.19","-6.08","-0.97","21","sinirli "
"-17.3","Az_Bulutlu","1","0","1.91","2.21","-1.75","20","keyifli "
"-17.9","Az_Bulutlu","1","0","-0.65","0.75","4.32","20","keyifli "
"-18.1","Az_Bulutlu","1","1","0.05","-1.51","5.55","19","keyifli "
"-18.5","Az_Bulutlu","1","1","4.04","-0.07","-1.84","19","keyifli "
"-18.5","Az_Bulutlu","1","1","-1.14","4.02","1.85","19","mutlu"
"-18.6","Az_Bulutlu","0","0","8.67","5.1","-0.52","19","mutlu"
"-18.5","Az_Bulutlu","1","0","1.41","-0.73","1.53","20","keyifli "
